idx,date,open,high,low,close,volume,transaction_value,listed_stock_amount,market_capitalization,foreigner_limit_buy_quantity,foreigner_available_buy_quantity,foreigner_holding_quantity,foreigner_holding_rate,agency_net_buy_quantity,agency_accumulate_net_buy_quantity,advance_decline_line,advance_decline_ratio,deposit,turnover_ratio,transaction_completion_rate
4752,20030321,5400,5610,5333,5550,53773,297000000,13768000,76412000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4751,20030324,5685,5685,5513,5565,70026,391000000,13768000,76618000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4750,20030325,5370,5565,5325,5498,93200,508000000,13768000,75696000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4749,20030326,5498,5700,5498,5588,44126,247000000,13768000,76935000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4748,20030327,5550,5618,5543,5565,14190,79000000,13768000,76618000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4747,20030328,5543,5565,5475,5565,20337,112000000,13768000,76618000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4746,20030331,5490,5490,5385,5400,25466,139000000,13768000,74347000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4745,20030401,5325,5775,5258,5513,30000,161000000,13768000,75902000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4744,20030402,5475,5513,5400,5460,20386,112000000,13768000,75173000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4743,20030403,5648,5648,5513,5550,39800,221000000,13768000,76412000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4742,20030404,5543,5828,5475,5745,67573,385000000,13768000,79097000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
4741,20030407,5925,6068,5595,5970,96986,576000000,13768000,82194000000,13768898,12678908,1089990,7.920000076293945,0,0,0,0.0,0,0.0,0.0
